id,name,slug,created_at,updated_at
148,"Perez, Jackson and Gutierrez",perez-jackson-and-gutierrez,2024-12-25 03:55:43,2027-02-05 03:55:43
149,Small Inc,small-inc,2023-01-25 22:59:29,2025-08-08 22:59:29
150,"Lee, Meyer and Blankenship",lee-meyer-and-blankenship,2024-08-30 06:45:17,2026-07-17 06:45:17
151,"Holmes, Moore and Brandt",holmes-moore-and-brandt,2023-01-02 19:39:22,2023-11-12 19:39:22
152,Wolfe Ltd,wolfe-ltd,2025-03-22 00:24:49,2026-02-15 00:24:49
153,Hall-Gaines,hall-gaines,2024-08-15 20:12:25,2025-04-05 20:12:25
154,Stafford-Shea,stafford-shea,2024-04-26 08:45:47,2026-07-05 08:45:47
155,Tapia-Morse,tapia-morse,2023-05-14 12:21:48,2025-07-31 12:21:48
156,"Santos, Baker and Gonzalez",santos-baker-and-gonzalez,2023-12-20 11:45:42,2024-08-11 11:45:42
157,Barnes-Brown,barnes-brown,2024-12-08 01:00:46,2026-01-18 01:00:46
158,Mcpherson Group,mcpherson-group,2024-03-17 13:40:19,2025-07-26 13:40:19
159,Morgan PLC,morgan-plc,2024-12-26 18:32:56,2026-06-07 18:32:56
160,Taylor-Cooper,taylor-cooper,2024-04-08 18:52:07,2024-08-13 18:52:07
161,Lindsey-Smith,lindsey-smith,2024-10-15 10:46:39,2026-10-10 10:46:39
162,"Anderson, Anderson and Hall",anderson-anderson-and-hall,2024-11-06 09:09:30,2026-10-24 09:09:30
163,Manning-Taylor,manning-taylor,2022-06-30 16:55:12,2023-08-17 16:55:12
164,Lewis PLC,lewis-plc,2024-10-07 10:18:57,2025-12-10 10:18:57
165,"Martinez, Macdonald and Perez",martinez-macdonald-and-perez,2025-03-12 21:14:27,2027-11-28 21:14:27
166,Mcmillan-Joseph,mcmillan-joseph,2023-09-16 19:22:43,2025-12-03 19:22:43
167,"Mendoza, Adams and King",mendoza-adams-and-king,2022-12-13 07:40:23,2025-03-21 07:40:23
168,Perez-Johnson,perez-johnson,2023-01-12 19:45:18,2024-06-23 19:45:18
169,"Taylor, Davis and Mclean",taylor-davis-and-mclean,2024-07-04 05:50:06,2026-03-30 05:50:06
170,Weber-Harmon,weber-harmon,2023-06-03 06:53:32,2023-09-22 06:53:32
171,Bond and Sons,bond-and-sons,2023-07-26 23:20:53,2024-07-18 23:20:53
172,Boyle-Harrison,boyle-harrison,2025-03-07 13:54:16,2026-03-30 13:54:16
173,Villanueva LLC,villanueva-llc,2025-02-11 05:01:38,2025-12-21 05:01:38
174,"House, Reed and Chan",house-reed-and-chan,2024-10-03 19:21:11,2026-09-07 19:21:11
175,"Gonzalez, Brooks and Nichols",gonzalez-brooks-and-nichols,2025-05-06 07:04:34,2026-03-30 07:04:34
176,Brooks-Cox,brooks-cox,2024-01-25 19:10:03,2024-01-28 19:10:03
177,"Vega, Jones and Gordon",vega-jones-and-gordon,2025-04-19 17:13:12,2026-06-12 17:13:12
178,Bradshaw Ltd,bradshaw-ltd,2023-01-25 18:26:16,2024-04-02 18:26:16
179,Morales and Sons,morales-and-sons,2024-08-11 06:07:18,2027-03-12 06:07:18
180,Daniels-Scott,daniels-scott,2024-06-09 16:22:44,2024-07-19 16:22:44
181,Cunningham-Snyder,cunningham-snyder,2024-09-10 00:45:59,2026-04-01 00:45:59
182,Daniel Ltd,daniel-ltd,2025-03-25 07:06:01,2026-07-28 07:06:01
183,"Thompson, Lang and Ray",thompson-lang-and-ray,2025-04-22 18:46:37,2026-06-01 18:46:37
184,Aguilar and Sons,aguilar-and-sons,2023-09-05 15:22:07,2025-03-16 15:22:07
185,Garcia-Taylor,garcia-taylor,2022-12-17 03:25:12,2023-09-02 03:25:12
186,Owens-Cohen,owens-cohen,2024-01-06 12:30:12,2024-12-16 12:30:12
187,"Miles, Hernandez and Conley",miles-hernandez-and-conley,2024-08-02 16:47:59,2024-08-13 16:47:59
188,Smith-Brooks,smith-brooks,2023-11-24 14:01:19,2025-07-01 14:01:19
189,Jones and Sons,jones-and-sons,2023-03-07 19:56:02,2025-04-26 19:56:02
190,Cooper PLC,cooper-plc,2022-09-16 00:52:51,2025-05-14 00:52:51
191,"Copeland, Buchanan and Young",copeland-buchanan-and-young,2024-05-08 21:37:38,2026-12-30 21:37:38
192,Myers-Lewis,myers-lewis,2024-08-25 20:09:50,2025-03-10 20:09:50
193,Hernandez Ltd,hernandez-ltd,2023-10-05 03:20:27,2024-12-11 03:20:27
194,Mcdaniel-Bailey,mcdaniel-bailey,2023-11-21 17:48:08,2025-05-25 17:48:08
195,Mitchell PLC,mitchell-plc,2022-09-27 03:24:23,2023-06-17 03:24:23
196,"Chan, Mcbride and Conley",chan-mcbride-and-conley,2024-11-24 17:19:42,2025-07-05 17:19:42
197,"Reynolds, Jackson and Hawkins",reynolds-jackson-and-hawkins,2023-11-19 08:54:50,2024-04-13 08:54:50
198,"Jones, Howell and Palmer",jones-howell-and-palmer,2022-11-17 02:20:31,2025-04-08 02:20:31
199,"Singh, Chang and Jordan",singh-chang-and-jordan,2024-05-02 06:15:20,2024-05-23 06:15:20
200,"Moore, Bailey and Miller",moore-bailey-and-miller,2022-09-08 09:58:05,2024-05-28 09:58:05
201,The Gonzalez Solutions Co. Corp.,the-gonzalez-solutions-co-corp,2023-09-22 08:22:13,2024-12-31 08:22:13
202,SO Equipment Inc.,so-equipment-inc,2022-10-17 18:32:25,2025-03-18 18:32:25
203,Flores Instruments International,flores-instruments-international,2024-05-20 15:16:34,2026-09-23 15:16:34
204,NO Engineering Group,no-engineering-group,2023-10-16 03:22:04,2025-12-10 03:22:04
205,Williams Innovations,williams-innovations,2023-12-29 03:02:33,2025-06-06 03:02:33
206,Precision Espinoza Builders Co.,precision-espinoza-builders-co,2022-07-21 03:06:46,2022-09-04 03:06:46
207,Carmen Moody Manufacturing Industries,carmen-moody-manufacturing-industries,2023-01-19 03:50:40,2024-08-28 03:50:40
208,Stephanie & Simmons Instruments,stephanie-and-simmons-instruments,2023-07-17 08:31:19,2023-09-02 08:31:19
209,Natalie Industrial,natalie-industrial,2022-12-17 11:13:52,2023-09-13 11:13:52
210,International Stanley Tools,international-stanley-tools,2023-03-30 02:11:12,2025-09-17 02:11:12
211,David & Johnson Machinery Group,david-and-johnson-machinery-group,2024-06-12 01:03:56,2025-06-26 01:03:56
212,Harris Brothers Equipment,harris-brothers-equipment,2023-10-05 19:33:43,2026-06-27 19:33:43
213,The Hogan Devices Co.,the-hogan-devices-co,2023-03-09 06:16:20,2024-12-02 06:16:20
214,The Smith Mechanics Co.,the-smith-mechanics-co,2022-07-25 22:05:09,2024-12-25 22:05:09
215,Henry & Walker Components Inc.,henry-and-walker-components-inc,2024-01-17 14:32:17,2024-08-21 14:32:17
216,The Powell Innovations Co.,the-powell-innovations-co,2023-07-18 01:14:56,2025-12-15 01:14:56
217,Holloway Engineering Group,holloway-engineering-group,2022-09-16 22:35:40,2025-04-29 22:35:40
218,Middleton Devices,middleton-devices,2024-01-06 15:46:01,2024-02-08 15:46:01
219,LH Systems,lh-systems,2022-12-04 07:59:24,2025-01-05 07:59:24
220,Master Ortiz Builders,master-ortiz-builders,2023-03-02 02:29:36,2023-11-11 02:29:36
221,The David Devices Co.,the-david-devices-co,2024-11-21 23:15:51,2027-07-14 23:15:51
222,Christopher Fischer Engineering Group,christopher-fischer-engineering-group,2025-03-21 09:38:03,2026-08-24 09:38:03
223,Martinez Builders Industries,martinez-builders-industries,2023-04-18 17:34:41,2025-05-17 17:34:41
224,Mike & Schmidt Products,mike-and-schmidt-products,2022-06-30 04:14:10,2024-09-14 04:14:10
225,Quality Gomez Products,quality-gomez-products,2023-06-03 22:05:06,2025-06-04 22:05:06
226,Allison Marshall Materials,allison-marshall-materials,2023-06-11 09:20:51,2025-04-17 09:20:51
227,Carter Brothers Machinery,carter-brothers-machinery,2022-10-08 08:41:04,2023-05-09 08:41:04
228,Robert & Weber Engineering,robert-and-weber-engineering,2025-03-04 03:48:27,2026-07-21 03:48:27
229,Precision Equipment Group LLC,precision-equipment-group-llc,2024-07-24 21:08:10,2026-06-01 21:08:10
230,Denise Romero Machinery Group,denise-romero-machinery-group,2024-03-04 09:13:40,2025-03-20 09:13:40
231,The Rivera Hardware Co.,the-rivera-hardware-co,2023-05-28 21:24:39,2023-09-06 21:24:39
232,CC Manufacturing,cc-manufacturing,2023-04-27 09:09:14,2025-01-08 09:09:14
233,TJ Mechanics,tj-mechanics,2022-07-13 03:46:09,2025-01-09 03:46:09
234,The Russell Materials Co.,the-russell-materials-co,2024-05-19 06:13:20,2026-11-15 06:13:20
235,Darlene & Jones Industrial,darlene-and-jones-industrial,2023-10-12 22:42:01,2024-09-13 22:42:01
236,Doyle Brothers Innovations,doyle-brothers-innovations,2024-06-12 17:28:40,2025-02-25 17:28:40
237,Lowery Brothers Tech,lowery-brothers-tech,2024-07-01 01:17:37,2025-06-20 01:17:37
238,Lloyd Builders,lloyd-builders,2022-11-16 14:17:07,2025-03-01 14:17:07
239,Mariah & Lambert Innovations,mariah-and-lambert-innovations,2024-04-04 04:21:08,2026-06-11 04:21:08
240,Marcus Moon Materials Group,marcus-moon-materials-group,2024-03-13 16:30:42,2024-03-24 16:30:42
241,Keith Ward Machinery,keith-ward-machinery,2025-03-23 10:27:52,2027-10-07 10:27:52
242,Dominique Equipment,dominique-equipment,2024-04-29 09:18:30,2026-02-23 09:18:30
243,Parker Systems Inc.,parker-systems-inc,2024-04-14 02:45:19,2026-08-17 02:45:19
244,Roberts Supplies,roberts-supplies,2025-03-21 15:49:24,2025-09-19 15:49:24
245,Vicki & Lloyd Machinery,vicki-and-lloyd-machinery,2024-10-22 07:31:41,2024-12-01 07:31:41
246,Garcia Classic Tools,garcia-classic-tools,2022-08-10 16:23:38,2024-03-05 16:23:38
247,Jones Prime Tech,jones-prime-tech,2025-04-03 19:10:37,2026-10-20 19:10:37
248,Murphy Performance Innovations,murphy-performance-innovations,2024-03-28 19:22:51,2024-04-13 19:22:51
249,CR Innovations,cr-innovations,2025-02-08 13:03:16,2026-04-12 13:03:16
250,Ronnie Products,ronnie-products,2025-03-30 10:20:44,2025-04-14 10:20:44
251,Master Manufacturing Group International,master-manufacturing-group-international,2023-09-18 00:47:31,2024-10-10 00:47:31
252,James Mechanics International,james-mechanics-international,2025-06-06 07:29:06,2026-06-18 07:29:06
253,Industrial Engineering,industrial-engineering,2022-11-23 07:29:44,2023-08-26 07:29:44
254,Wyatt Components,wyatt-components,2023-04-10 21:03:57,2025-01-01 21:03:57
255,Johnson Brothers Components,johnson-brothers-components,2025-01-21 01:33:26,2026-10-13 01:33:26
256,Katherine & Brown Tools,katherine-and-brown-tools,2022-07-28 07:21:27,2023-12-29 07:21:27
257,Black Precision Solutions Corp.,black-precision-solutions-corp,2023-03-08 15:06:14,2024-02-23 15:06:14
258,The Massey Instruments Co.,the-massey-instruments-co,2022-12-25 19:01:57,2023-01-08 19:01:57
259,Cruz Materials Corp.,cruz-materials-corp,2023-06-29 04:20:16,2023-09-01 04:20:16
260,The Greene Industrial Co.,the-greene-industrial-co,2024-11-08 19:35:07,2024-12-15 19:35:07
261,James Industrial,james-industrial,2025-04-14 11:07:43,2025-08-06 11:07:43
262,MJ Solutions,mj-solutions,2023-09-22 09:10:38,2026-02-20 09:10:38
263,William Nichols Hardware,william-nichols-hardware,2023-06-09 08:48:59,2025-05-24 08:48:59
264,Premier Carter Supplies,premier-carter-supplies,2022-12-26 00:39:52,2023-08-20 00:39:52
265,Boyle Brothers Products,boyle-brothers-products,2024-02-24 09:02:07,2025-12-30 09:02:07
266,DJ Mechanics Co.,dj-mechanics-co,2024-05-18 00:36:13,2025-06-17 00:36:13
267,Johnson Components,johnson-components,2024-04-13 14:52:09,2026-12-12 14:52:09
268,Davis Expert Systems Inc.,davis-expert-systems-inc,2023-04-29 05:48:13,2026-01-06 05:48:13
269,Osborne Reliable Products LLC,osborne-reliable-products-llc,2024-01-16 20:24:39,2024-03-08 20:24:39
270,Vincent & Freeman Devices,vincent-and-freeman-devices,2024-10-13 00:21:00,2027-04-10 00:21:00
271,Patrick Ross Equipment,patrick-ross-equipment,2024-01-21 02:21:58,2024-11-22 02:21:58
272,Joshua Equipment,joshua-equipment,2024-04-02 00:44:35,2025-03-26 00:44:35
273,Craig & Hale Industrial,craig-and-hale-industrial,2023-08-17 01:41:21,2026-05-13 01:41:21
274,Heavy-Duty Products Industries,heavy-duty-products-industries,2024-08-05 16:18:24,2024-11-20 16:18:24
275,Smart Components,smart-components,2022-12-03 20:12:45,2024-04-19 20:12:45
276,David Innovations,david-innovations,2024-01-24 18:50:18,2024-10-13 18:50:18
277,Joshua Tools,joshua-tools,2022-11-23 02:46:36,2023-12-09 02:46:36
278,The Hill Mechanics Co.,the-hill-mechanics-co,2024-09-16 00:06:36,2027-04-23 00:06:36
279,Classic Components Group,classic-components-group,2025-03-31 00:56:29,2027-06-11 00:56:29
280,Master Instruments Group,master-instruments-group,2024-11-13 20:21:23,2026-05-28 20:21:23
281,DC Systems,dc-systems,2024-01-19 12:08:14,2025-02-11 12:08:14
282,MS Products,ms-products,2023-03-20 14:14:19,2024-06-25 14:14:19
283,Bates Machinery,bates-machinery,2024-12-07 19:10:49,2027-04-21 19:10:49
284,Cowan Instruments,cowan-instruments,2023-12-28 22:57:50,2025-07-10 22:57:50
285,The Johnson Industrial Co.,the-johnson-industrial-co,2025-02-26 01:53:23,2026-11-21 01:53:23
286,Eaton Brothers Engineering Inc.,eaton-brothers-engineering-inc,2025-06-14 21:38:14,2026-04-11 21:38:14
287,RT Builders LLC,rt-builders-llc,2025-05-30 19:20:20,2026-07-05 19:20:20
288,Adam Devices,adam-devices,2025-03-02 06:05:47,2026-07-31 06:05:47
289,John Engineering,john-engineering,2023-07-05 06:18:05,2023-08-16 06:18:05
290,Smart Drake Machinery,smart-drake-machinery,2025-03-07 01:12:50,2026-03-17 01:12:50
